"s"	"ct"
"http://rdf.glycoinfo.org/glycan/G79372CR"	"RES
1b:x-dglc-HEX-1:5
2b:a-dman-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5s:methyl
LIN
1:1o(6+1)2d
2:2o(2+1)3d
3:3d(2+1)4n
4:2o(6+1)5n"
"http://rdf.glycoinfo.org/glycan/G58955OJ"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dglc-HEX-1:5
10s:n-acetyl
11b:a-dman-HEX-1:5
12b:b-dglc-HEX-1:5
13s:n-acetyl
14b:b-dglc-HEX-1:5
15s:n-acetyl
16b:b-dglc-HEX-1:5
17s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7d(2+1)8n
8:5o(4+1)9d
9:9d(2+1)10n
10:5o(6+1)11d
11:11o(2+1)12d
12:12d(2+1)13n
13:11o(4+1)14d
14:14d(2+1)15n
15:11o(6+1)16d
16:16d(2+1)17n"
"http://rdf.glycoinfo.org/glycan/G82893ZY"	"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dglc-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(2+1)3d"
"http://rdf.glycoinfo.org/glycan/G08297DA"	"RES
1b:x-dglc-HEX-1:5
2s:amino
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9b:a-dman-HEX-1:5
10s:phosphate
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(6+1)4d
4:4o(2+1)5d
5:5o(2+1)6d
6:6o(2+1)7d
7:7o(2+1)8d
8:6o(3+1)9d
9:5o(6+1)10n"
"http://rdf.glycoinfo.org/glycan/G65531RA"	"RES
1b:b-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:b-dglc-HEX-1:5
6b:b-dglc-HEX-1:5
7b:b-dgal-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(3+1)3d
3:2o(6+1)4d
4:4o(6+1)5d
5:5o(3+1)6d
6:5o(6+1)7d"
"http://rdf.glycoinfo.org/glycan/G39680EP"	"RES
1b:b-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:a-lara-PEN-1:5
LIN
1:1o(2+1)2d
2:1o(4+1)3d"
"http://rdf.glycoinfo.org/glycan/G04792UK"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9b:a-dman-HEX-1:5
10b:a-dman-HEX-1:5
11b:a-dman-HEX-1:5
12b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(4+1)7d
7:7o(4+1)8d
8:5o(6+1)9d
9:9o(3+1)10d
10:9o(6+1)11d
11:11o(4+1)12d"
"http://rdf.glycoinfo.org/glycan/G01297HV"	"RES
1b:b-dgal-HEX-1:5
2b:a-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:2o(6+1)4d
4:4o(4+1)5d"
"http://rdf.glycoinfo.org/glycan/G29930ZL"	"RES
1b:x-dtal-HEX-1:5
2b:a-dtal-HEX-1:5
LIN
1:1o(2+1)2d"
"http://rdf.glycoinfo.org/glycan/G88357PE"	"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dglc-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:4o(4+1)6d"
